input,output
"FCP: 2.9s, LCP: 4.9s","Headline: 'Your Business Needs This Now!', CTA: 'Click or Stay Broke!', Traffic: 915.0K, Bounce: 0.40, Conv: 0.01"
"FCP: 1.7s, LCP: 3.6s","Headline: 'Build Wealth or Bust!', CTA: 'Cash In or Crash Out!', Traffic: 1054.7K, Bounce: 0.40, Conv: 0.01"
"FCP: 2.3s, LCP: 3.4s","Headline: 'The Money Magnet Method!', CTA: 'Make It Rain—Click Here!', Traffic: 904.7K, Bounce: 0.38, Conv: 0.01"
"FCP: 1.6s, LCP: 2.6s","Headline: 'Profit Like a Predator!', CTA: 'Win Big or Stay Small!', Traffic: 802.7K, Bounce: 0.34, Conv: 0.01"
"FCP: 2.6s, LCP: 4.2s","Headline: 'Steal This Formula Before It’s Gone!', CTA: 'Make Millions or Miss Out!', Traffic: 939.1K, Bounce: 0.40, Conv: 0.01"
"FCP: 2.8s, LCP: 2.6s","Headline: 'The Secret to Crushing It!', CTA: 'Seize the Opportunity—Go!', Traffic: 940.5K, Bounce: 0.36, Conv: 0.01"
"FCP: 2.3s, LCP: 3.8s","Headline: 'Unlock Explosive Growth Now!', CTA: 'Get Paid or Get Played!', Traffic: 980.7K, Bounce: 0.35, Conv: 0.01"
"FCP: 1.6s, LCP: 2.5s","Headline: 'The Profit Hack You Need!', CTA: 'Get the Edge—Act Now!', Traffic: 846.1K, Bounce: 0.34, Conv: 0.01"
"FCP: 2.1s, LCP: 3.8s","Headline: 'Your Last Shot at Millions!', CTA: 'Your Last Chance—Act Fast!', Traffic: 1143.3K, Bounce: 0.39, Conv: 0.01"
"FCP: 1.6s, LCP: 3.9s","Headline: 'Unlock Explosive Growth Now!', CTA: 'Win Big or Stay Small!', Traffic: 830.5K, Bounce: 0.37, Conv: 0.01"
"FCP: 2.8s, LCP: 3.8s","Headline: 'The Millionaire’s Playbook Unleashed!', CTA: 'Unlock the Secret Now!', Traffic: 1069.7K, Bounce: 0.37, Conv: 0.01"
"FCP: 1.8s, LCP: 3.6s","Headline: 'Cash In Before Your Rivals Do!', CTA: 'Steal This Now!', Traffic: 1158.2K, Bounce: 0.36, Conv: 0.01"
"FCP: 2.5s, LCP: 2.1s","Headline: 'Your Business Is Dying—Save It!', CTA: 'Master Your Market—Click!', Traffic: 786.0K, Bounce: 0.39, Conv: 0.01"
